,model,GNN_sum_score,GNN_pcadscore,voromqa_dark
74,H1143TS248_5.pdb,0.3215998379224633,0.443,0.686
75,H1143TS073_3.pdb,0.40150191364816384,0.654,0.696
76,H1143TS257_1.pdb,0.3732831869515923,0.51,0.662
77,H1143TS248_3.pdb,0.3400210358277715,0.537,0.677
78,H1143TS150_4.pdb,0.42479381846186304,0.694,0.693
79,H1143TS091_2.pdb,0.3047808318534831,0.455,0.65
80,H1143TS312_4.pdb,0.3425910287824271,0.439,0.696
81,H1143TS147_1.pdb,0.3203244975933417,0.391,0.67
82,H1143TS091_1.pdb,0.3774883483996574,0.536,0.635
83,H1143TS278_3.pdb,0.4563045629308487,0.64,0.708
84,H1143TS444_1.pdb,0.2075545330969945,0.285,0.696
85,H1143TS091_3.pdb,0.18076436976051477,0.2,0.656
86,H1143TS257_4.pdb,0.31281911975646104,0.394,0.658
87,H1143TS091_4.pdb,0.23940542905090448,0.293,0.667
88,H1143TS257_3.pdb,0.40623852763052154,0.633,0.661
89,H1143TS225_3.pdb,0.3665302599088934,0.559,0.687
90,H1143TS225_5.pdb,0.3523431918962689,0.443,0.689
91,H1143TS441_2.pdb,0.4273151662925364,0.756,0.693
92,H1143TS225_4.pdb,0.3157021176661782,0.448,0.691
93,H1143TS150_5.pdb,0.26229888110749094,0.313,0.695
94,H1143TS257_2.pdb,0.3275784511939099,0.538,0.65
95,H1143TS165_4.pdb,0.3542957379401541,0.468,0.671
96,H1143TS257_5.pdb,0.3977154282110018,0.659,0.66
97,H1143TS131_3.pdb,0.2666765778829387,0.318,0.689
98,H1143TS131_5.pdb,0.21217818836448715,0.277,0.688
99,H1143TS434_5.pdb,0.31847634726496893,0.414,0.689
100,H1143TS399_4.pdb,0.2172569579380006,0.223,0.691
101,H1143TS133_2.pdb,0.24769787406232882,0.284,0.691
102,H1143TS150_3.pdb,0.32341665131703484,0.473,0.695
103,H1143TS131_4.pdb,0.32859726592540245,0.507,0.691
104,H1143TS423_3.pdb,0.23461834802980874,0.289,0.695
105,H1143TS350_2.pdb,0.1584774331261634,0.102,0.682
106,H1143TS097_2.pdb,0.40180016109370276,0.47,0.694
107,H1143TS185_4.pdb,0.1716199974092372,0.16,0.684
108,H1143TS165_5.pdb,0.19596223607970584,0.269,0.667
109,H1143TS097_1.pdb,0.37980017603340377,0.516,0.692
110,H1143TS205_5.pdb,0.568904724971947,0.76,0.683
111,H1143TS248_2.pdb,0.34300059521955073,0.358,0.68
112,H1143TS288_2.pdb,0.29679264660629207,0.363,0.691
113,H1143TS278_2.pdb,0.4281729237596086,0.542,0.696
114,H1143TS398_5.pdb,0.16610287514545713,0.215,0.692
115,H1143TS288_5.pdb,0.16063603772893953,0.162,0.692
116,H1143TS314_3.pdb,0.34648081678624804,0.485,0.678
117,H1143TS239_4.pdb,0.14284285383998596,0.161,0.68
118,H1143TS234_1.pdb,0.16788780503180062,0.066,0.661
119,H1143TS399_3.pdb,0.17053796223571532,0.259,0.694
120,H1143TS234_2.pdb,0.2762110221834519,0.304,0.656
121,H1143TS441_5.pdb,0.5108045921725806,0.824,0.702
122,H1143TS278_4.pdb,0.26718143046179527,0.326,0.696
123,H1143TS234_4.pdb,0.1065796447302664,0.063,0.656
124,H1143TS314_5.pdb,0.2759984047314397,0.362,0.686
125,H1143TS185_2.pdb,0.23713441230769008,0.057,0.689
126,H1143TS185_5.pdb,0.1733413424706002,0.206,0.688
127,H1143TS234_3.pdb,0.14858352504431352,0.059,0.657
128,H1143TS091_5.pdb,0.20278184520247028,0.238,0.652
129,H1143TS350_4.pdb,0.2517323220977672,0.307,0.665
130,H1143TS399_2.pdb,0.2393287264396816,0.252,0.69
131,H1143TS248_4.pdb,0.19316887637597835,0.111,0.675
132,H1143TS314_4.pdb,0.26011240120894974,0.368,0.687
133,H1143TS234_5.pdb,0.14386604116689267,0.07,0.657
134,H1143TS185_1.pdb,0.2503083135245652,0.304,0.683
135,H1143TS398_1.pdb,0.19599175109875128,0.313,0.701
136,H1143TS097_5.pdb,0.0,0.059,0.686
137,H1143TS147_4.pdb,0.4078585742314572,0.687,0.68
138,H1143TS147_5.pdb,0.47628313356949,0.724,0.666
139,H1143TS493_2.pdb,0.2419694096868657,0.199,0.688
140,H1143TS398_4.pdb,0.05590672962475297,0.183,0.691
141,H1143TS205_2.pdb,0.40490288192298,0.591,0.677
142,H1143TS037_5.pdb,0.5165762359277581,0.647,0.692
143,H1143TS312_2.pdb,0.30604196124750876,0.436,0.693
144,H1143TS067_1.pdb,0.34504952055402244,0.471,0.679
145,H1143TS441_1.pdb,0.31287213747585735,0.348,0.694
146,H1143TS092_1.pdb,0.23975377915223028,0.223,0.689
147,H1143TS147_3.pdb,0.23994143637208673,0.303,0.668
148,H1143TS067_2.pdb,0.2790597680957584,0.358,0.665
149,H1143TS493_5.pdb,0.3084235682164056,0.443,0.68
150,H1143TS493_1.pdb,0.2722643904392473,0.278,0.684
151,H1143TS314_2.pdb,0.24981020203030538,0.34,0.69
152,H1143TS097_4.pdb,0.10536734265169852,0.061,0.679
153,H1143TS205_4.pdb,0.38192726151090295,0.613,0.693
154,H1143TS119_4.pdb,0.26782729924275755,0.266,0.684
155,H1143TS493_3.pdb,0.31479316439446564,0.511,0.674
156,H1143TS350_5.pdb,0.2991569453850079,0.374,0.676
157,H1143TS037_2.pdb,0.5274357588302288,0.643,0.695
158,H1143TS119_2.pdb,0.10746709940785948,0.079,0.684
159,H1143TS398_3.pdb,0.08275501204194559,0.141,0.691
160,H1143TS398_2.pdb,0.24740636770138671,0.353,0.69
161,H1143TS185_3.pdb,0.14843649652351334,0.135,0.687
162,H1143TS003_1.pdb,0.0,0.0,0.0
163,H1143TS003_2.pdb,0.0,0.0,0.0
164,H1143TS003_3.pdb,0.0,0.0,0.0
165,H1143TS003_4.pdb,0.0,0.0,0.0
166,H1143TS003_5.pdb,0.0,0.0,0.0
167,H1143TS011_1.pdb,0.0,0.0,0.0
168,H1143TS011_2.pdb,0.0,0.0,0.0
169,H1143TS011_3.pdb,0.0,0.0,0.0
170,H1143TS011_4.pdb,0.0,0.0,0.0
171,H1143TS011_5.pdb,0.0,0.0,0.0
172,H1143TS035_1.pdb,0.0,0.0,0.0
173,H1143TS035_2.pdb,0.0,0.0,0.0
174,H1143TS035_3.pdb,0.0,0.0,0.0
175,H1143TS035_4.pdb,0.0,0.0,0.0
176,H1143TS035_5.pdb,0.0,0.0,0.0
177,H1143TS037_1.pdb,0.0,0.0,0.0
178,H1143TS052_1.pdb,0.0,0.0,0.0
179,H1143TS054_1.pdb,0.0,0.0,0.0
180,H1143TS054_2.pdb,0.0,0.0,0.0
181,H1143TS054_3.pdb,0.0,0.0,0.0
182,H1143TS054_4.pdb,0.0,0.0,0.0
183,H1143TS054_5.pdb,0.0,0.0,0.0
184,H1143TS086_1.pdb,0.0,0.0,0.0
185,H1143TS086_2.pdb,0.0,0.0,0.0
186,H1143TS086_3.pdb,0.0,0.0,0.0
187,H1143TS086_4.pdb,0.0,0.0,0.0
188,H1143TS086_5.pdb,0.0,0.0,0.0
189,H1143TS098_1.pdb,0.0,0.0,0.0
190,H1143TS098_2.pdb,0.0,0.0,0.0
191,H1143TS098_3.pdb,0.0,0.0,0.0
192,H1143TS098_4.pdb,0.0,0.0,0.0
193,H1143TS098_5.pdb,0.0,0.0,0.0
194,H1143TS119_5.pdb,0.0,0.0,0.0
195,H1143TS125_1.pdb,0.0,0.0,0.0
196,H1143TS125_2.pdb,0.0,0.0,0.0
197,H1143TS125_3.pdb,0.0,0.0,0.0
198,H1143TS125_4.pdb,0.0,0.0,0.0
199,H1143TS125_5.pdb,0.0,0.0,0.0
200,H1143TS131_1.pdb,0.0,0.0,0.0
201,H1143TS131_2.pdb,0.0,0.0,0.0
202,H1143TS133_4.pdb,0.0,0.0,0.0
203,H1143TS150_1.pdb,0.0,0.0,0.0
204,H1143TS158_2.pdb,0.0,0.0,0.0
205,H1143TS158_3.pdb,0.0,0.0,0.0
206,H1143TS158_4.pdb,0.0,0.0,0.0
207,H1143TS158_5.pdb,0.0,0.0,0.0
208,H1143TS169_1.pdb,0.0,0.0,0.0
209,H1143TS169_2.pdb,0.0,0.0,0.0
210,H1143TS169_3.pdb,0.0,0.0,0.0
211,H1143TS169_4.pdb,0.0,0.0,0.0
212,H1143TS180_1.pdb,0.0,0.0,0.0
213,H1143TS180_2.pdb,0.0,0.0,0.0
214,H1143TS180_3.pdb,0.0,0.0,0.0
215,H1143TS180_5.pdb,0.0,0.0,0.0
216,H1143TS187_1.pdb,0.0,0.0,0.0
217,H1143TS187_2.pdb,0.0,0.0,0.0
218,H1143TS187_3.pdb,0.0,0.0,0.0
219,H1143TS187_4.pdb,0.0,0.0,0.0
220,H1143TS187_5.pdb,0.0,0.0,0.0
221,H1143TS188_1.pdb,0.0,0.0,0.0
222,H1143TS188_2.pdb,0.0,0.0,0.0
223,H1143TS188_3.pdb,0.0,0.0,0.0
224,H1143TS188_4.pdb,0.0,0.0,0.0
225,H1143TS205_3.pdb,0.0,0.0,0.0
226,H1143TS227_1.pdb,0.0,0.0,0.0
227,H1143TS227_2.pdb,0.0,0.0,0.0
228,H1143TS227_3.pdb,0.0,0.0,0.0
229,H1143TS227_4.pdb,0.0,0.0,0.0
230,H1143TS227_5.pdb,0.0,0.0,0.0
231,H1143TS239_1.pdb,0.0,0.0,0.0
232,H1143TS239_2.pdb,0.0,0.0,0.0
233,H1143TS239_3.pdb,0.0,0.0,0.0
234,H1143TS239_5.pdb,0.0,0.0,0.0
235,H1143TS245_1.pdb,0.0,0.0,0.0
236,H1143TS245_2.pdb,0.0,0.0,0.0
237,H1143TS245_3.pdb,0.0,0.0,0.0
238,H1143TS278_1.pdb,0.0,0.0,0.0
239,H1143TS288_1.pdb,0.0,0.0,0.0
240,H1143TS298_1.pdb,0.0,0.0,0.0
241,H1143TS298_2.pdb,0.0,0.0,0.0
242,H1143TS298_3.pdb,0.0,0.0,0.0
243,H1143TS298_4.pdb,0.0,0.0,0.0
244,H1143TS298_5.pdb,0.0,0.0,0.0
245,H1143TS314_1.pdb,0.0,0.0,0.0
246,H1143TS320_1.pdb,0.0,0.0,0.0
247,H1143TS320_2.pdb,0.0,0.0,0.0
248,H1143TS320_3.pdb,0.0,0.0,0.0
249,H1143TS320_4.pdb,0.0,0.0,0.0
250,H1143TS320_5.pdb,0.0,0.0,0.0
251,H1143TS333_1.pdb,0.0,0.0,0.0
252,H1143TS333_2.pdb,0.0,0.0,0.0
253,H1143TS333_3.pdb,0.0,0.0,0.0
254,H1143TS333_4.pdb,0.0,0.0,0.0
255,H1143TS333_5.pdb,0.0,0.0,0.0
256,H1143TS348_1.pdb,0.0,0.0,0.0
257,H1143TS348_2.pdb,0.0,0.0,0.0
258,H1143TS348_3.pdb,0.0,0.0,0.0
259,H1143TS348_4.pdb,0.0,0.0,0.0
260,H1143TS348_5.pdb,0.0,0.0,0.0
261,H1143TS360_2.pdb,0.0,0.0,0.0
262,H1143TS360_3.pdb,0.0,0.0,0.0
263,H1143TS360_4.pdb,0.0,0.0,0.0
264,H1143TS360_5.pdb,0.0,0.0,0.0
265,H1143TS367_1.pdb,0.0,0.0,0.0
266,H1143TS367_3.pdb,0.0,0.0,0.0
267,H1143TS367_4.pdb,0.0,0.0,0.0
268,H1143TS367_5.pdb,0.0,0.0,0.0
269,H1143TS368_1.pdb,0.0,0.0,0.0
270,H1143TS368_2.pdb,0.0,0.0,0.0
271,H1143TS368_3.pdb,0.0,0.0,0.0
272,H1143TS368_4.pdb,0.0,0.0,0.0
273,H1143TS368_5.pdb,0.0,0.0,0.0
274,H1143TS374_1.pdb,0.0,0.0,0.0
275,H1143TS374_2.pdb,0.0,0.0,0.0
276,H1143TS374_4.pdb,0.0,0.0,0.0
277,H1143TS385_3.pdb,0.0,0.0,0.0
278,H1143TS390_1.pdb,0.0,0.0,0.0
279,H1143TS390_2.pdb,0.0,0.0,0.0
280,H1143TS390_3.pdb,0.0,0.0,0.0
281,H1143TS390_4.pdb,0.0,0.0,0.0
282,H1143TS390_5.pdb,0.0,0.0,0.0
283,H1143TS399_5.pdb,0.0,0.0,0.0
284,H1143TS423_1.pdb,0.0,0.0,0.0
285,H1143TS423_2.pdb,0.0,0.0,0.0
286,H1143TS433_1.pdb,0.0,0.0,0.0
287,H1143TS433_2.pdb,0.0,0.0,0.0
288,H1143TS433_3.pdb,0.0,0.0,0.0
289,H1143TS433_4.pdb,0.0,0.0,0.0
290,H1143TS433_5.pdb,0.0,0.0,0.0
291,H1143TS434_1.pdb,0.0,0.0,0.0
292,H1143TS434_2.pdb,0.0,0.0,0.0
293,H1143TS434_3.pdb,0.0,0.0,0.0
294,H1143TS434_4.pdb,0.0,0.0,0.0
295,H1143TS439_1.pdb,0.0,0.0,0.0
296,H1143TS439_5.pdb,0.0,0.0,0.0
297,H1143TS441_3.pdb,0.0,0.0,0.0
298,H1143TS446_1.pdb,0.0,0.0,0.0
299,H1143TS446_2.pdb,0.0,0.0,0.0
300,H1143TS446_3.pdb,0.0,0.0,0.0
301,H1143TS446_4.pdb,0.0,0.0,0.0
302,H1143TS446_5.pdb,0.0,0.0,0.0
303,H1143TS461_1.pdb,0.0,0.0,0.0
304,H1143TS461_2.pdb,0.0,0.0,0.0
305,H1143TS462_1.pdb,0.0,0.0,0.0
