,model,GNN_sum_score,GNN_pcadscore,voromqa_dark
54,T1179TS150_4o.pdb,0.5246275117212603,0.183,0.588
55,T1179TS003_5o.pdb,0.5499525741564855,0.125,0.625
56,T1179TS390_4o.pdb,0.511962846868817,0.139,0.593
57,T1179TS348_4o.pdb,0.5536209473085147,0.254,0.576
58,T1179TS399_1o.pdb,0.5897045570637467,0.35,0.629
59,T1179TS150_1o.pdb,0.6481520398605236,0.529,0.629
60,T1179TS390_1o.pdb,0.6536194685517014,0.484,0.621
61,T1179TS071_4o.pdb,0.5586921114239034,0.247,0.6
62,T1179TS399_4o.pdb,0.663317789486715,0.518,0.567
63,T1179TS360_2o.pdb,0.5175373798034775,0.057,0.596
64,T1179TS158_4o.pdb,0.5273610993162651,0.139,0.629
65,T1179TS367_4o.pdb,0.6332506919525632,0.438,0.634
66,T1179TS360_4o.pdb,0.5054774419873139,0.063,0.598
67,T1179TS314_3o.pdb,0.5566850159262109,0.335,0.588
68,T1179TS385_1o.pdb,0.5643838041483776,0.217,0.658
69,T1179TS390_2o.pdb,0.547424069006398,0.193,0.652
70,T1179TS248_5o.pdb,0.5556350563385221,0.118,0.634
71,T1179TS320_2o.pdb,0.5314573824398896,0.18,0.573
72,T1179TS158_5o.pdb,0.6482501870627368,0.526,0.634
73,T1179TS444_5o.pdb,0.6313098870103044,0.382,0.619
74,T1179TS278_5o.pdb,0.6011211934158986,0.381,0.624
75,T1179TS185_4o.pdb,0.6274712878239587,0.392,0.67
76,T1179TS390_5o.pdb,0.5544990753544897,0.174,0.595
77,T1179TS423_3o.pdb,0.5674591958182448,0.29,0.603
78,T1179TS493_3o.pdb,0.574252055366345,0.243,0.623
79,T1179TS150_5o.pdb,0.5204909219119227,0.065,0.595
80,T1179TS037_1o.pdb,0.6129576699524643,0.357,0.642
81,T1179TS348_1o.pdb,0.5844051573967627,0.274,0.594
82,T1179TS147_5o.pdb,0.6951802245428846,0.608,0.615
83,T1179TS147_1o.pdb,0.6742053266510426,0.536,0.615
84,T1179TS398_1o.pdb,0.5604967862389426,0.164,0.621
85,T1179TS320_3o.pdb,0.5032038745118518,0.184,0.587
86,T1179TS348_2o.pdb,0.5778301398523694,0.327,0.625
87,T1179TS493_1o.pdb,0.5711707486692245,0.277,0.595
88,T1179TS239_3o.pdb,0.5444031800876523,0.096,0.629
89,T1179TS398_2o.pdb,0.6031146843509082,0.302,0.621
90,T1179TS399_3o.pdb,0.5620736480043331,0.281,0.591
91,T1179TS169_2o.pdb,0.563201812702352,0.103,0.626
92,T1179TS150_3o.pdb,0.5555549077192373,0.057,0.624
93,T1179TS439_5o.pdb,0.5983232587744148,0.321,0.654
94,T1179TS390_3o.pdb,0.5651071274810898,0.105,0.626
95,T1179TS399_5o.pdb,0.5995173337761154,0.307,0.653
96,T1179TS360_5o.pdb,0.537489484982802,0.099,0.63
97,T1179TS493_2o.pdb,0.5638399173924193,0.185,0.633
98,T1179TS360_1o.pdb,0.5691074181624292,0.15,0.606
99,T1179TS037_4o.pdb,0.5524204925274193,0.242,0.618
100,T1179TS493_5o.pdb,0.5736185559474966,0.296,0.599
101,T1179TS360_3o.pdb,0.570386416055412,0.236,0.586
102,T1179TS298_5o.pdb,0.5887663069907595,0.287,0.613
103,T1179TS147_2o.pdb,0.6648226991705865,0.536,0.646
104,T1179TS147_3o.pdb,0.6931533559540876,0.607,0.636
105,T1179TS248_2o.pdb,0.5531373093301528,0.093,0.603
106,T1179TS071_5o.pdb,0.5308387128393693,0.051,0.623
107,T1179TS298_2o.pdb,0.5526849364958449,0.11,0.648
108,T1179TS248_3o.pdb,0.634923672910823,0.43,0.6
109,T1179TS131_4o.pdb,0.523509191318599,0.107,0.586
110,T1179TS320_1o.pdb,0.592035838305125,0.358,0.604
111,T1179TS185_3o.pdb,0.6091229155338334,0.334,0.671
112,T1179TS131_5o.pdb,0.5671298555508094,0.202,0.645
113,T1179TS399_2o.pdb,0.6201615393942927,0.388,0.642
114,T1179TS423_2o.pdb,0.5855229285468933,0.272,0.636
115,T1179TS320_4o.pdb,0.5333381498555255,0.122,0.615
116,T1179TS350_1o.pdb,0.5211688685355618,0.057,0.644
117,T1179TS188_5o.pdb,0.5825717524493494,0.148,0.618
118,T1179TS205_2o.pdb,0.6784814266031731,0.526,0.626
119,T1179TS350_5o.pdb,0.5638600707352759,0.195,0.642
120,T1179TS447_4o.pdb,0.7236127465457297,0.607,0.565
121,T1179TS298_1o.pdb,0.5241527040335838,0.081,0.639
122,T1179TS205_4o.pdb,0.6954637655993,0.638,0.607
123,T1179TS494_5o.pdb,0.6117458076188086,0.297,0.616
124,T1179TS493_4o.pdb,0.5351407121608313,0.191,0.582
125,T1179TS447_5o.pdb,0.7536601554891664,0.737,0.557
126,T1179TS205_5o.pdb,0.6676902621328827,0.564,0.646
127,T1179TS298_3o.pdb,0.5781024423570031,0.235,0.626
128,T1179TS147_4o.pdb,0.6643515249996514,0.563,0.596
129,T1179TS350_3o.pdb,0.5913438223666616,0.22,0.625
130,T1179TS444_4o.pdb,0.6930137190607105,0.617,0.65
131,T1179TS314_1o.pdb,0.5764611490447442,0.21,0.666
132,T1179TS248_4o.pdb,0.6032647992925627,0.289,0.605
133,T1179TS298_4o.pdb,0.5561885761388645,0.169,0.625
134,T1179TS320_5o.pdb,0.5407502282566766,0.112,0.577
135,T1179TS494_2o.pdb,0.6409072299800622,0.483,0.622
136,T1179TS037_5o.pdb,0.6652378495833919,0.525,0.613
137,T1179TS091_5o.pdb,0.6978687311801789,0.649,0.603
138,T1179TS205_1o.pdb,0.5979648081228535,0.329,0.598
139,T1179TS169_3o.pdb,0.577651506029314,0.156,0.623
140,T1179TS494_1o.pdb,0.6686893947363863,0.572,0.616
141,T1179TS188_2o.pdb,0.5790606345218735,0.205,0.6
142,T1179TS312_1o.pdb,0.5585894434508607,0.057,0.583
143,T1179TS205_3o.pdb,0.5761957755720359,0.187,0.552
144,T1179TS188_4o.pdb,0.597363968104483,0.096,0.634
145,T1179TS091_4o.pdb,0.745987900389251,0.645,0.579
146,T1179TS312_5o.pdb,0.5713473967331305,0.143,0.607
147,T1179TS312_3o.pdb,0.6700805246460173,0.64,0.589
148,T1179TS169_4o.pdb,0.6119167941566291,0.14,0.63
149,T1179TS234_1o.pdb,0.6010031041218022,0.091,0.596
150,T1179TS169_5o.pdb,0.0,0.149,0.392
151,T1179TS350_4o.pdb,0.642087151166549,0.507,0.638
152,T1179TS234_3o.pdb,0.5885929966922323,0.114,0.595
153,T1179TS180_3o.pdb,0.6024460750202907,0.116,0.619
154,T1179TS180_1o.pdb,0.6048788834794556,0.097,0.637
155,T1179TS398_3o.pdb,0.5543898586012734,0.046,0.643
156,T1179TS462_5o.pdb,0.6047122487116859,0.058,0.512
157,T1179TS180_4o.pdb,0.5949118935565495,0.072,0.623
158,T1179TS312_2o.pdb,0.59128551709802,0.27,0.607
159,T1179TS312_4o.pdb,0.6414017262584538,0.388,0.609
160,T1179TS461_2o.pdb,0.6078490721646,0.26,0.524
161,T1179TS441_1o.pdb,0.611020498526947,0.055,0.642
162,T1179TS165_4o.pdb,0.5200196209904037,0.06,0.615
163,T1179TS165_2o.pdb,0.5207187349615713,0.096,0.614
164,T1179TS314_2o.pdb,0.6233887782637959,0.369,0.594
165,T1179TS131_3o.pdb,0.5532802417387138,0.145,0.608
166,T1179TS447_2o.pdb,0.6586376931731713,0.531,0.558
167,T1179TS462_1o.pdb,0.5739832596278688,0.027,0.508
168,T1179TS441_4o.pdb,0.6044106245719527,0.073,0.67
169,T1179TS374_5o.pdb,0.5768115721593188,0.28,0.641
170,T1179TS462_3o.pdb,0.609237413561383,0.114,0.511
171,T1179TS234_4o.pdb,0.5628477138208414,0.02,0.591
172,T1179TS441_5o.pdb,0.5997611173993485,0.088,0.649
173,T1179TS444_1o.pdb,0.5552447490401812,0.11,0.641
174,T1179TS441_3o.pdb,0.6008060069636771,0.146,0.67
175,T1179TS423_5o.pdb,0.6046967851404376,0.421,0.618
176,T1179TS180_2o.pdb,0.6019305381449546,0.086,0.622
177,T1179TS441_2o.pdb,0.5641450060481153,0.203,0.648
178,T1179TS444_2o.pdb,0.5396465686715651,0.176,0.607
179,T1179TS165_5o.pdb,0.46922930997404566,0.051,0.59
180,T1179TS447_3o.pdb,0.6245922328087127,0.453,0.55
181,T1179TS461_4o.pdb,0.6012969119755219,0.148,0.37
182,T1179TS398_4o.pdb,0.509968637680498,0.041,0.588
183,T1179TS165_3o.pdb,0.513493233420073,0.103,0.582
184,T1179TS188_3o.pdb,0.5766876945885527,0.115,0.591
185,T1179TS188_1o.pdb,0.5539262894653787,0.101,0.601
186,T1179TS444_3o.pdb,0.5534031898051971,0.255,0.632
187,T1179TS165_1o.pdb,0.4868015461881241,0.13,0.61
188,T1179TS398_5o.pdb,0.5168729954923268,0.102,0.609
189,T1179TS234_2o.pdb,0.6182435495571545,0.019,0.595
190,T1179TS461_1o.pdb,0.6135407226388796,0.044,0.508
191,T1179TS462_4o.pdb,0.6211970071652105,0.123,0.508
192,T1179TS169_1o.pdb,0.19967872951974622,0.252,0.349
193,T1179TS461_3o.pdb,0.6166983331875702,0.087,0.405
194,T1179TS180_5o.pdb,0.5987090875521209,0.05,0.615
195,T1179TS003_1o.pdb,0.0,0.0,0.0
196,T1179TS003_2o.pdb,0.0,0.0,0.0
197,T1179TS003_3o.pdb,0.0,0.0,0.0
198,T1179TS003_4o.pdb,0.0,0.0,0.0
199,T1179TS035_1o.pdb,0.0,0.0,0.0
200,T1179TS035_2o.pdb,0.0,0.0,0.0
201,T1179TS035_3o.pdb,0.0,0.0,0.0
202,T1179TS035_4o.pdb,0.0,0.0,0.0
203,T1179TS035_5o.pdb,0.0,0.0,0.0
204,T1179TS054_1o.pdb,0.0,0.0,0.0
205,T1179TS054_2o.pdb,0.0,0.0,0.0
206,T1179TS054_3o.pdb,0.0,0.0,0.0
207,T1179TS054_4o.pdb,0.0,0.0,0.0
208,T1179TS054_5o.pdb,0.0,0.0,0.0
209,T1179TS073_3o.pdb,0.0,0.0,0.0
210,T1179TS073_4o.pdb,0.0,0.0,0.0
211,T1179TS074_4o.pdb,0.0,0.0,0.0
212,T1179TS074_5o.pdb,0.0,0.0,0.0
213,T1179TS086_1o.pdb,0.0,0.0,0.0
214,T1179TS086_2o.pdb,0.0,0.0,0.0
215,T1179TS086_3o.pdb,0.0,0.0,0.0
216,T1179TS086_5o.pdb,0.0,0.0,0.0
217,T1179TS098_1o.pdb,0.0,0.0,0.0
218,T1179TS098_2o.pdb,0.0,0.0,0.0
219,T1179TS098_3o.pdb,0.0,0.0,0.0
220,T1179TS098_4o.pdb,0.0,0.0,0.0
221,T1179TS098_5o.pdb,0.0,0.0,0.0
222,T1179TS125_1o.pdb,0.0,0.0,0.0
223,T1179TS125_2o.pdb,0.0,0.0,0.0
224,T1179TS125_3o.pdb,0.0,0.0,0.0
225,T1179TS125_4o.pdb,0.0,0.0,0.0
226,T1179TS125_5o.pdb,0.0,0.0,0.0
227,T1179TS150_2o.pdb,0.0,0.0,0.0
228,T1179TS158_1o.pdb,0.0,0.0,0.0
229,T1179TS158_2o.pdb,0.0,0.0,0.0
230,T1179TS187_1o.pdb,0.0,0.0,0.0
231,T1179TS187_2o.pdb,0.0,0.0,0.0
232,T1179TS187_3o.pdb,0.0,0.0,0.0
233,T1179TS187_4o.pdb,0.0,0.0,0.0
234,T1179TS187_5o.pdb,0.0,0.0,0.0
235,T1179TS229_1o.pdb,0.0,0.0,0.0
236,T1179TS229_2o.pdb,0.0,0.0,0.0
237,T1179TS229_3o.pdb,0.0,0.0,0.0
238,T1179TS229_4o.pdb,0.0,0.0,0.0
239,T1179TS229_5o.pdb,0.0,0.0,0.0
240,T1179TS239_1o.pdb,0.0,0.0,0.0
241,T1179TS245_1o.pdb,0.0,0.0,0.0
242,T1179TS245_2o.pdb,0.0,0.0,0.0
243,T1179TS245_3o.pdb,0.0,0.0,0.0
244,T1179TS245_4o.pdb,0.0,0.0,0.0
245,T1179TS245_5o.pdb,0.0,0.0,0.0
246,T1179TS288_1o.pdb,0.0,0.0,0.0
247,T1179TS291_1o.pdb,0.0,0.0,0.0
248,T1179TS291_2o.pdb,0.0,0.0,0.0
249,T1179TS291_3o.pdb,0.0,0.0,0.0
250,T1179TS291_4o.pdb,0.0,0.0,0.0
251,T1179TS291_5o.pdb,0.0,0.0,0.0
252,T1179TS314_5o.pdb,0.0,0.0,0.0
253,T1179TS348_3o.pdb,0.0,0.0,0.0
254,T1179TS348_5o.pdb,0.0,0.0,0.0
255,T1179TS433_1o.pdb,0.0,0.0,0.0
256,T1179TS433_2o.pdb,0.0,0.0,0.0
257,T1179TS433_3o.pdb,0.0,0.0,0.0
258,T1179TS433_4o.pdb,0.0,0.0,0.0
259,T1179TS433_5o.pdb,0.0,0.0,0.0
260,T1179TS446_1o.pdb,0.0,0.0,0.0
261,T1179TS446_2o.pdb,0.0,0.0,0.0
262,T1179TS446_3o.pdb,0.0,0.0,0.0
263,T1179TS446_4o.pdb,0.0,0.0,0.0
264,T1179TS446_5o.pdb,0.0,0.0,0.0
265,T1179TS461_5o.pdb,0.0,0.0,0.0
266,T1179TS462_2o.pdb,0.0,0.0,0.0
